product_variation_id,customer_id,quantity,create_time,delete_time
1,2464,5,2020-12-07 02:26:02,1644164445
1,9183,2,2021-11-03 22:49:16,
1,8298,9,2020-10-06 08:06:39,1600663559
1,4682,9,2022-08-10 21:54:40,1582158823
1,7593,8,2023-01-06 12:16:51,
2,1596,5,2023-08-31 14:18:32,
2,9677,1,2022-02-02 07:13:25,
2,519,8,2020-02-23 14:57:44,
3,8064,2,2021-01-19 13:56:38,
3,545,1,2020-09-15 04:43:57,
3,7484,10,2020-10-03 01:26:02,
3,7158,6,2022-05-27 12:45:29,
4,7588,7,2022-05-19 23:01:31,
4,6030,3,2020-02-25 15:51:05,
4,5131,1,2022-07-03 17:56:38,
4,545,7,2023-08-29 22:11:14,
4,66,8,2021-09-15 22:45:37,
4,6739,5,2023-09-22 15:36:41,1601651612
4,3026,1,2023-01-07 09:57:36,
5,9174,6,2023-01-24 09:16:30,
5,1974,4,2022-07-19 20:41:34,
5,9067,6,2022-10-08 00:53:37,1664026356
5,6594,7,2021-02-04 06:17:26,
5,3320,1,2021-10-10 08:42:54,
5,3446,3,2020-05-27 20:37:54,
5,3317,4,2023-04-06 09:33:34,
5,1596,4,2023-03-26 13:07:08,1599407041
6,9304,9,2023-07-05 04:58:25,
6,9456,2,2020-01-07 13:20:13,
6,4105,7,2023-07-04 22:40:56,
6,1741,5,2020-01-28 18:25:22,
6,2609,1,2021-01-27 07:44:27,
7,6266,3,2020-04-27 10:32:14,
7,9718,10,2023-05-30 00:02:39,1606996453
7,4682,4,2021-10-05 02:05:05,
8,1975,5,2021-01-03 10:34:22,
8,7156,6,2022-10-01 02:12:42,
8,1408,3,2020-11-13 15:30:34,
8,4682,9,2020-03-27 12:29:22,
8,9974,8,2021-07-07 20:39:33,1581947897
8,7762,10,2023-08-22 18:40:50,
9,1741,4,2021-07-04 21:09:59,1693261855
9,4807,1,2021-12-06 01:11:30,
9,7380,5,2020-06-20 06:03:42,1593984932
9,8407,4,2020-05-13 16:51:58,
10,6666,2,2021-10-05 11:08:47,
10,2385,10,2020-03-20 10:40:10,
10,8618,3,2023-01-26 05:39:55,
10,9864,6,2020-01-18 14:09:59,
10,2609,10,2021-05-25 17:56:58,
10,3957,7,2023-07-25 04:36:00,
10,5313,8,2021-07-16 04:37:20,
11,183,2,2022-09-20 00:37:53,
11,3245,3,2021-12-13 07:56:10,
11,4270,8,2020-10-01 18:24:29,
11,1416,7,2020-08-29 07:19:48,1642236956
11,488,6,2020-02-01 15:56:09,
11,5499,2,2020-03-27 12:31:39,1591265264
11,7982,2,2023-03-09 15:10:07,
12,5561,10,2021-12-26 01:18:56,
12,3848,1,2021-11-24 23:38:11,
12,7049,5,2023-07-10 08:13:28,
12,8407,1,2021-06-02 03:29:47,
12,3910,2,2021-03-16 16:38:57,
12,4046,8,2020-02-12 10:53:14,
12,8953,9,2023-08-10 15:07:24,
13,9677,9,2022-03-01 07:41:01,1636947866
